word1,word2,cosine_similarity
admission,ticket,0.25426587
alcohol,chemistry,0.5615574
aluminum,metal,0.46447554
announcement,effort,0.22936206
announcement,news,0.3237295
announcement,production,0.108807474
announcement,warning,0.28594145
architecture,century,0.32093957
arrival,hotel,0.3409705
atmosphere,landscape,0.40831938
attempt,peace,0.18091385
baby,mother,0.3239949
bank,money,0.040975127
baseball,season,0.302536
bed,closet,0.3340953
bird,cock,0.44620687
bird,crane,0.39929634
bishop,rabbi,0.43645358
board,recommendation,0.4101058
book,library,0.1649583
book,paper,0.15692943
boy,lad,0.23925322
bread,butter,0.6375628
brother,monk,0.37916565
calculation,computation,0.538123
canyon,landscape,0.44416845
car,automobile,0.32687232
car,flight,0.070751786
cell,phone,0.22185186
cemetery,woodland,0.5341761
century,nation,0.1660374
century,year,0.34870872
championship,tournament,0.42494676
change,attitude,0.26781312
chord,smile,0.41402632
closet,clothes,0.41830197
coast,forest,0.2916805
coast,hill,0.3024839
coast,shore,0.38207757
company,stock,0.1903619
competition,price,0.37849236
computer,keyboard,0.55519545
computer,laboratory,0.38846028
computer,news,0.2600922
concert,virtuoso,0.3886636
consumer,confidence,0.17557268
consumer,energy,0.34501544
country,citizen,0.15675268
crane,implement,0.60373783
credit,card,0.44500273
credit,information,0.28684446
cup,article,0.13790707
cup,coffee,0.6186492
cup,drink,0.4433711
cup,entity,0.23953739
cup,food,0.38625032
cup,liquid,0.2426349
cup,object,0.20440127
cup,substance,0.27170047
currency,market,0.17415641
day,dawn,0.29903352
day,summer,0.4770641
death,row,0.23783806
delay,news,0.32355097
development,issue,0.10497799
direction,combination,0.24480365
disability,death,0.11596163
disaster,area,0.21501371
discovery,space,0.119310476
dividend,calculation,0.49266848
dividend,payment,0.5380253
doctor,liability,0.14656329
doctor,nurse,0.4553221
doctor,personnel,0.2826168
dollar,buck,0.3540276
dollar,loss,0.25799018
dollar,profit,0.35057357
dollar,yen,0.31978944
drink,car,0.13126384
drink,ear,0.35043797
drink,eat,0.4326642
drink,mother,0.14970127
drink,mouth,0.20319149
drug,abuse,0.38394153
energy,crisis,0.14239864
energy,laboratory,0.17746243
energy,secretary,0.12724817
equipment,maker,0.34266457
exhibit,memorabilia,0.58161014
experience,music,0.092639774
family,planning,0.25189453
fbi,fingerprint,0.62510693
fbi,investigation,0.39023235
fertility,egg,0.3654993
fighting,defeating,0.4244322
five,month,0.33208445
focus,life,0.18727572
food,fruit,0.27945244
food,preparation,0.42926964
food,rooster,0.35677823
football,basketball,0.7290132
football,soccer,0.50047463
football,tennis,0.5324462
forest,graveyard,0.3102591
fuck,sex,0.34101945
furnace,stove,0.46363208
game,defeat,0.22537154
game,round,0.2854565
game,series,0.48989478
game,team,0.33903742
game,victory,0.36918435
gender,equality,0.5454898
glass,magician,0.2923809
glass,metal,0.48962012
government,crisis,0.09468603
governor,interview,0.17606068
governor,office,0.2806625
grocery,money,0.21962366
harvard,yale,0.7764952
holy,sex,0.19669795
hotel,reservation,0.29129618
hundred,percent,0.36553943
image,surface,0.21963574
impartiality,interest,0.1426243
investigation,effort,0.24278064
investor,earning,0.58090883
jaguar,car,0.18644919
jaguar,cat,0.49245733
japanese,american,0.30735654
jerusalem,israel,0.5421754
journal,association,0.31603268
journey,car,0.24251427
journey,voyage,0.35589185
king,cabbage,0.28166154
king,queen,0.41613948
lad,brother,0.26050547
lad,wizard,0.6151178
law,lawyer,0.14320695
lawyer,evidence,0.05409151
liability,insurance,0.5711244
life,death,0.24311836
life,lesson,0.16907102
life,term,-0.066676274
line,insurance,-0.001401106
liquid,water,0.29822132
listing,category,0.41584763
listing,proximity,0.44623554
love,sex,0.3346944
lover,quarrel,0.32147095
luxury,car,0.15763623
magician,wizard,0.7031334
man,governor,-0.042900182
man,woman,0.49666452
mars,scientist,0.36740786
mars,water,0.12634401
media,gain,0.2922872
media,radio,0.27358246
media,trading,0.4562136
mexico,brazil,0.5710454
midday,noon,0.5878581
mile,kilometer,0.5097448
minister,party,0.31885433
ministry,culture,0.37108484
minority,peace,0.23143907
money,bank,0.040975127
money,cash,0.40741566
money,cash,0.40741566
money,currency,0.285284
money,deposit,0.15441632
money,dollar,0.39647338
money,laundering,0.19856639
money,operation,0.04665569
money,possession,0.034735702
money,property,0.35472798
money,wealth,0.28551996
money,withdrawal,0.12510552
monk,oracle,0.67042553
monk,slave,0.2979682
month,hotel,0.14195733
morality,importance,0.34667236
morality,marriage,0.25891984
movie,critic,0.23941743
movie,star,0.5905341
movie,theater,0.49199888
murder,manslaughter,0.6210987
museum,theater,0.47728556
music,project,0.08342068
nature,environment,0.31959036
nature,man,0.28687373
network,hardware,0.25923917
news,report,0.46703425
noon,string,0.23899777
observation,architecture,0.34760344
oil,stock,0.25739288
opera,industry,0.15540147
