word1,word2,cosine_similarity
admission,ticket,0.6198241
alcohol,chemistry,0.73698217
aluminum,metal,0.6795945
announcement,effort,0.3925331
announcement,news,0.60312915
announcement,production,0.25161436
announcement,warning,0.5215331
architecture,century,0.46910748
arrival,hotel,0.51400304
atmosphere,landscape,0.481863
attempt,peace,0.34114313
baby,mother,0.5102289
bank,money,0.330395
baseball,season,0.61167663
bed,closet,0.520898
bird,cock,0.6917874
bird,crane,0.7183951
bishop,rabbi,0.71162146
board,recommendation,0.50136274
book,library,0.47580865
book,paper,0.42955568
boy,lad,0.45666307
bread,butter,0.7279763
brother,monk,0.58265215
calculation,computation,0.7508241
canyon,landscape,0.65243924
car,automobile,0.35856104
car,flight,0.21361299
cell,phone,0.44921148
cemetery,woodland,0.79818696
century,nation,0.32778877
century,year,0.35778457
championship,tournament,0.74444216
change,attitude,0.41361895
chord,smile,0.5360878
closet,clothes,0.51758206
coast,forest,0.48564583
coast,hill,0.5318365
coast,shore,0.47469303
company,stock,0.39940858
competition,price,0.5568198
computer,keyboard,0.7650345
computer,laboratory,0.5385683
computer,news,0.4966825
concert,virtuoso,0.617234
consumer,confidence,0.50482756
consumer,energy,0.38816
country,citizen,0.37396255
crane,implement,0.81222564
credit,card,0.62738246
credit,information,0.37595946
cup,article,0.2671114
cup,coffee,0.6820065
cup,drink,0.5739538
cup,entity,0.5012264
cup,food,0.37022528
cup,liquid,0.48290056
cup,object,0.2626652
cup,substance,0.50789607
currency,market,0.51778257
day,dawn,0.3655536
day,summer,0.37061545
death,row,0.45055428
delay,news,0.49622288
development,issue,0.3366026
direction,combination,0.44611087
disability,death,0.32213855
disaster,area,0.21845376
discovery,space,0.34101364
dividend,calculation,0.7075542
dividend,payment,0.6402508
doctor,liability,0.5118598
doctor,nurse,0.6286782
doctor,personnel,0.5097993
dollar,buck,0.48854992
dollar,loss,0.41548714
dollar,profit,0.44727656
dollar,yen,0.6049075
drink,car,0.37608612
drink,ear,0.55199885
drink,eat,0.5921208
drink,mother,0.39049536
drink,mouth,0.49870792
drug,abuse,0.60617226
energy,crisis,0.34124315
energy,laboratory,0.34459493
energy,secretary,0.32017714
equipment,maker,0.6056912
exhibit,memorabilia,0.7548699
experience,music,0.35831317
family,planning,0.3256007
fbi,fingerprint,0.7939155
fbi,investigation,0.6219986
fertility,egg,0.68315244
fighting,defeating,0.5262518
five,month,0.3988442
focus,life,0.28063443
food,fruit,0.39973646
food,preparation,0.45429993
food,rooster,0.45944044
football,basketball,0.7872181
football,soccer,0.71448773
football,tennis,0.643768
forest,graveyard,0.5613673
fuck,sex,0.47526813
furnace,stove,0.7268244
game,defeat,0.49980032
game,round,0.45935693
game,series,0.52588475
game,team,0.47507676
game,victory,0.5353459
gender,equality,0.7688371
glass,magician,0.518174
glass,metal,0.6015056
government,crisis,0.3359168
governor,interview,0.47219938
governor,office,0.50847596
grocery,money,0.2257241
harvard,yale,0.7842969
holy,sex,0.3658455
hotel,reservation,0.50712186
hundred,percent,0.44133914
image,surface,0.30607095
impartiality,interest,0.32641992
investigation,effort,0.38132986
investor,earning,0.77774453
jaguar,car,0.46260387
jaguar,cat,0.60108364
japanese,american,0.3450338
jerusalem,israel,0.7172768
journal,association,0.47344115
journey,car,0.28777125
journey,voyage,0.5864294
king,cabbage,0.5173192
king,queen,0.5923662
lad,brother,0.57541835
lad,wizard,0.8198773
law,lawyer,0.340048
lawyer,evidence,0.34107727
liability,insurance,0.74016637
life,death,0.35653496
life,lesson,0.21225546
life,term,0.12620355
line,insurance,0.34160563
liquid,water,0.41013366
listing,category,0.6770902
listing,proximity,0.8007748
love,sex,0.34443566
lover,quarrel,0.6522211
luxury,car,0.3479709
magician,wizard,0.8507727
man,governor,0.22084935
man,woman,0.5665186
mars,scientist,0.594832
mars,water,0.33266267
media,gain,0.47897315
media,radio,0.44367072
media,trading,0.67208904
mexico,brazil,0.75437415
midday,noon,0.6886119
mile,kilometer,0.657192
minister,party,0.30677992
ministry,culture,0.5210514
minority,peace,0.3868674
money,bank,0.330395
money,cash,0.44721237
money,cash,0.44721237
money,currency,0.38436344
money,deposit,0.31658915
money,dollar,0.39304617
money,laundering,0.3121366
money,operation,0.25046635
